perfume_id,item_name,brand,theme,note,perfumer,gender,tags,url
779091,"穆蒂斯 黄金国 Mutis Nueva Granada El Dorado, 2021",穆蒂斯,馥奇调,"杜松,胡椒,香柠檬,柠檬,山丝苗,焚香,松树,鸢尾花,琥珀,香草,檀香木",,,"清新辛辣,木质,芳香植物,东方",https://www.nosetime.com/779091-
515087,"桃花心木 Mahogany Make Me Fever Rose, 2017",桃花心木,花香西普调,"百香果,香柠檬,橘子,玫瑰,紫罗兰叶,铃兰,橙花油,茉莉,小苍兰,麝香,檀香木,广藿香,橡木苔,琥珀,雪松",,,"玫瑰,木质,柑橘,脂粉",https://www.nosetime.com/515087-
204107,"爱纳克斯 04号阿兹特克之水 IUNX No. 04 L’Eau Azteque, 2003",爱纳克斯,果香花香调,"麝香,黄葵,梨,木槿",Olivia Giacobetti,,"麝香,花香,脂粉,水果",https://www.nosetime.com/204107-
654527,"诺伽特 Nougat Fig and Pink Cedar, 2000",诺伽特,木质东方调,"香柠檬,橙花,颠茄,夹竹桃,茉莉,无花果,雪松",,,"木质,水果,甜,柑橘",https://www.nosetime.com/654527-
589058,"尼格斯奥斯科尔 F Nikkos-Oskol Fragrance Ф (F), 2017",尼格斯奥斯科尔,皮革调,"小豆蔻,粉红胡椒,龙蒿,阿米香树花,皮革,桦木,肉豆蔻,雪松,沉香(乌木),广藿香,香根草",Sofia Koronaiou,,"木质,芳香植物,皮革,温暖辛辣",https://www.nosetime.com/589058-
786560,DANHERA  DANHERA Abanthe,DANHERA,皮革调,"杏,茶叶,香柠檬,木槿,皮革,茉莉,沉香(乌木),乳香,檀香木,麝香,木槿,皮革,茉莉,沉香(乌木),乳香,檀香木,麝香,沉香(乌木),乳香,檀香木,麝香",,,"沉香,皮革,水果",https://www.nosetime.com/786560-
648504,"Fischersund Quarter to Five/4:45, 2023",Fischersund,木质调,木质香,,,木质,https://www.nosetime.com/648504-
277079,珍妮阿德 我心荡漾 Jeanne Arthes Lovely Sweet Sixteen,珍妮阿德,果香花香调,"黑加仑,柠檬,橘子,绿叶,桃子,苹果,小苍兰,玫瑰,铃兰,檀香木,麝香,雪松,琥珀",,,"水果,柑橘,木质,绿叶",https://www.nosetime.com/277079-
449921,"深夜香氛 Deep Midnight Perfumes Faerie Feast, 2014",深夜香氛,,"肉桂,小豆蔻,焦糖,奶油",Cat Marx,,,https://www.nosetime.com/449921-
521188,"罗科巴洛克 银影洛高 Roccobarocco Silver Jeans, 1995",罗科巴洛克,果香花香调,"桃子,杏,黑加仑,桂花,木兰,玫瑰,麝猫香,麝香,龙涎香",Maurizio Cerizza,,"水果,花香,麝香,动物",https://www.nosetime.com/521188-
197628,"拉扎勒斯·杜沃斯 相遇罗马 Lazarus Douvos We Met in Roma, 2022",拉扎勒斯·杜沃斯,花香调,"橙花,茉莉,英国金盏花,玫瑰,水仙花,天竺葵,檀香木,鸢尾根,焚香",,,"白花,花香,甜,黄色花",https://www.nosetime.com/197628-
918164,Mekkanische Rose Darassalam,Mekkanische Rose,绿叶芳香调,"橡木苔,绿叶,木质香,辛香料",,,"木质,绿叶,苔藓,泥土",https://www.nosetime.com/918164-
289663,"欧彻斯特之香 电音柠檬水 L'Orchestre Parfum Electro Limonade, 2020",欧彻斯特之香,芳香柑橘调,"柠檬,薄荷,克里曼丁红橘,香柠檬,大黄,橙花,香根草,焚香,琥珀",,,"柑橘,芳香植物,绿叶,甜",https://www.nosetime.com/289663-
208124,"艾斯安斯 E99-EsAns Nuremberg/Nürnberg, 2014",艾斯安斯,,"肉桂,天芥菜,生姜,肉桂,香草,焦糖,肉桂,烟草,蜂蜜",U.M. Karali,,,https://www.nosetime.com/208124-
289399,"朱莉安娜·皮斯 Juliana Paes Exotic, 2013",朱莉安娜·皮斯,果香花香调,"菠萝,莫吉托,黑加仑,紫罗兰,小苍兰,焦糖,琥珀,雪松",Sonia Constant,,"水果,甜,焦糖,清新",https://www.nosetime.com/289399-
